50139
26
5610758
5612141
 0 1 1 1622 1903 7 (D 0,1,1) (S 5,1,2) (S 7,2,3) (S 9,3,4) (S 11,4,5) (S 1,12,12) (S 40,21,30) (D 0,1,1)
 0 1 2 1634 1980 8 (D 0,1,1) (S 6,1,16) (S 2,16,16) (S 32,16,17) (S 34,17,18) (S 20,18,9) (S 102,19,20) (S 52,27,36) (D 0,1,1)
 0 1 3 1609 2016 8 (D 0,1,1) (S 33,16,25) (S 3,25,25) (S 48,25,26) (S 35,26,17) (S 36,18,19) (S 21,19,10) (S 99,7,14) (D 0,1,1)
 0 1 4 1624 1993 5 (D 0,1,1) (S 8,2,9) (S 19,9,10) (S 22,10,20) (S 106,34,43) (D 0,1,1)
 0 1 5 1542 1879 6 (D 0,1,1) (S 10,3,10) (S 100,10,11) (S 12,11,4) (S 13,4,12) (S 41,22,23) (D 0,1,1)
 0 1 6 1611 1805 4 (D 0,1,1) (S 49,25,34) (S 65,34,35) (S 50,35,26) (D 0,1,1)
 0 1 7 1619 1901 5 (D 0,1,1) (S 104,26,27) (S 51,27,28) (S 37,28,19) (S 53,28,29) (D 0,1,1)
 0 1 8 1636 2027 5 (D 0,1,1) (S 105,27,18) (S 23,20,11) (S 38,20,21) (S 57,30,31) (D 0,1,1)
 0 1 9 1619 1983 5 (D 0,1,1) (S 14,5,6) (S 16,6,13) (S 26,13,14) (S 47,24,33) (D 0,1,1)
 0 1 10 1552 1866 5 (D 0,1,1) (S 15,5,12) (S 24,12,21) (S 25,12,22) (S 103,22,21) (D 0,1,1)
 0 1 11 1620 2025 6 (D 0,1,1) (S 66,35,36) (S 68,36,37) (S 54,37,28) (S 107,37,38) (S 95,53,52) (D 0,1,1)
 0 1 12 1598 1999 6 (D 0,1,1) (S 67,35,44) (S 79,44,43) (S 80,43,50) (S 94,51,52) (S 96,53,54) (D 0,1,1)
 0 1 13 1504 1810 5 (D 0,1,1) (S 39,20,29) (S 55,29,30) (S 4,30,30) (S 42,31,22) (D 0,1,1)
 0 1 14 1611 2000 5 (D 0,1,1) (S 69,36,45) (S 81,45,44) (S 82,44,51) (S 89,54,47) (D 0,1,1)
 0 1 15 1562 2013 5 (D 0,1,1) (S 56,29,38) (S 71,38,39) (S 58,39,30) (S 91,48,55) (D 0,1,1)
 0 1 16 1606 1953 4 (D 0,1,1) (S 93,50,51) (S 84,52,45) (S 83,45,46) (D 0,1,1)
 0 1 17 1605 1985 4 (D 0,1,1) (S 27,13,22) (S 43,22,32) (S 75,41,40) (D 0,1,1)
 0 1 18 1548 2054 5 (D 0,1,1) (S 70,37,46) (S 72,46,38) (S 73,38,47) (S 98,55,56) (D 0,1,1)
 0 1 19 1628 1986 5 (D 0,1,1) (S 17,7,8) (S 18,8,15) (S 28,15,14) (S 29,14,23) (D 0,1,1)
 0 1 20 1447 1835 5 (D 0,1,1) (S 30,14,24) (S 31,24,15) (S 44,24,23) (S 101,14,6) (D 0,1,1)
 0 1 21 1647 2104 5 (D 0,1,1) (S 85,46,47) (S 88,47,48) (S 76,48,40) (S 64,42,33) (D 0,1,1)
 0 1 22 1644 2137 5 (D 0,1,1) (S 86,46,52) (S 87,53,46) (S 97,54,55) (S 59,40,31) (D 0,1,1)
 0 1 23 1644 2163 5 (D 0,1,1) (S 45,23,32) (S 46,32,24) (S 60,33,32) (S 92,49,56) (D 0,1,1)
 0 1 24 1580 2054 4 (D 0,1,1) (S 61,32,40) (S 74,40,39) (S 90,48,49) (D 0,1,1)
 0 1 25 1535 1909 4 (D 0,1,1) (S 62,32,41) (S 77,41,42) (S 63,42,32) (D 0,1,1)
 0 1 26 355 759 2 (D 0,1,1) (S 78,42,49) (D 0,1,1)
